date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,no,no2,nox,o3,pm10,so2
2011-10-09,1.76458333333333,251.979166666667,55.3958333333333,992.364583333334,210.729166666667,18.00625,25.1,12.8,0,2,944,2.11864406779661,3.33,18.96,28.17,46.12,23.88,1.09
2011-10-10,2.01875,259.479166666667,45.3333333333333,994.114583333333,207,22.7333333333333,30.6,17.5,0,43,15368,2.7980218636127,22.79,41.29,76.71,28.38,42.21,1.96
2011-10-11,1.53541666666667,230.729166666667,42.2083333333333,992.522916666666,202.5,23.7583333333333,32.1,16.9,0,28,9457,2.96076980014804,37.71,56.58,115,23.88,67.46,3.74
2011-10-12,1.45416666666667,244.9375,40.3541666666667,990.502083333333,201.541666666667,24.2916666666667,33.2,16.9,0,17,11370,1.49516270888303,6.58,46.67,66.17,40.71,55.88,3.43
2011-10-13,1.8,191.645833333333,64.3541666666667,989.51875,191.0625,21.4375,28.5,17,0,40,17988,2.2237046920169,29.83,46.83,93.17,38.04,52.88,4.17
2011-10-14,1.51875,207.6875,70.9375,990.683333333333,163.833333333333,18.9229166666667,25.8,15,0,21,8900,2.35955056179775,20.17,38.38,69.38,32.5,35.54,1.13
2011-10-15,1.46041666666667,149.041666666667,66.0833333333333,993.633333333333,121.3125,17.51875,21,15.3,0,2,1108,1.80505415162455,3.54,26.54,36.67,51.88,39.38,1
2011-10-16,1.52291666666667,238.104166666667,68.7916666666667,993.79375,114.270833333333,17.75,22.6,14,0,NA,NA,NA,1.96,20.92,23.75,54.92,34.67,1
2011-10-17,1.45625,223.520833333333,76.9583333333333,992.972916666667,112.291666666667,17.725,23.9,13.6,0.1,37,14272,2.59248878923767,24.29,38.46,75.46,37.46,42.96,1
2011-10-18,2.15208333333333,240.1875,67,990.79375,168.604166666667,18.6104166666667,24.9,15,0,35,11525,3.03687635574837,31.26,45.13,95.7,31.45,41.5,1.6
2011-10-19,1.90208333333333,232.1875,73.6458333333333,988.641666666667,141.979166666667,18.4958333333333,23.8,14.1,0,16,6015,2.66001662510391,27.21,47.96,91.96,41.29,44.25,2.83
2011-10-20,1.61875,243.5625,60.3333333333333,991.414583333333,132.770833333333,14.8291666666667,20.8,11.4,0,20,7851,2.54744618519934,18.5,38.54,66.67,38.04,30.67,1.17
2011-10-21,1.26875,179.395833333333,63.4375,991.141666666667,70.3541666666667,12.8958333333333,17.7,8.6,0,27,9911,2.72424578750883,23.58,52.71,89.5,22.62,46.21,2.87
2011-10-22,1.18541666666667,176.708333333333,78.1875,988.69375,91.8125,14.9625,20.7,12.7,0,5,1458,3.42935528120713,4.54,31.04,40.21,45.58,24.46,2.57
2011-10-23,1.1375,248.6875,94.7916666666667,984.704166666666,60.0208333333333,14.1416666666667,18.2,12.3,7.4,NA,NA,NA,9.58,35.67,50.75,19.75,32.38,2.87
2011-10-24,1.27083333333333,206.833333333333,95,974.177083333333,70.625,15.1125,18.4,13.2,40.2,47,15096,3.11340752517223,39.42,61.21,124.42,14.46,30.88,1.3
2011-10-25,3.05625,316.875,60.2291666666667,975.783333333333,173.229166666667,15.1604166666667,18.2,12,0,21,6941,3.02550064832157,14.75,32.25,55.79,36.04,20.54,1.65
2011-10-26,1.70625,240.770833333333,54.75,983.7875,158.75,14.75,21,9.5,0,25,13073,1.91233840740457,32.08,51.58,101.38,24.42,34.33,2.74
2011-10-27,1.03333333333333,209.979166666667,90.6875,980.483333333333,19.0625,15.0354166666667,17.6,13.5,22.1,21,9262,2.26732887065429,65.33,72.54,176.46,7,50.75,2.52
2011-10-28,0.577083333333333,166.770833333333,97.8125,987.80625,31.0833333333333,14.98125,16.2,13.6,23.1,21,8205,2.55941499085923,29.29,56.75,102.38,7.08,22.92,2.78
2011-10-29,0.7875,114.645833333333,90.5,992.045833333333,34.7916666666667,16.44375,20.2,14,0,6,1687,3.556609365738,11.58,37.29,57.79,19.54,29,1.26
2011-10-30,1.28333333333333,246.395833333333,84.7291666666667,991.483333333333,131.5625,16.3791666666667,21.2,13.4,0,6,3143,1.90900413617563,5.92,22.5,32.29,23.04,23.29,1
2011-10-31,0.877083333333333,232.666666666667,90,988.2875,74.2708333333333,15.6208333333333,19.7,12.1,0.1,22,6578,3.34448160535117,31.21,34.04,82.33,16.12,41.38,1.91
2011-11-01,1.25833333333333,209.083333333333,85.2083333333333,986.83125,103.145833333333,17.9645833333333,22,15.5,0,4,2348,1.70357751277683,9.17,23.5,37.83,26.12,30.04,1.52
2011-11-02,2.19166666666667,172.4375,87.8541666666667,983.629166666667,89.1875,17.8291666666667,20.4,16.2,16.6,28,10537,2.65730283761982,16.96,26.5,56.12,35.5,31.67,1.04
2011-11-03,2.41666666666667,202.291666666667,89.375,974.804166666667,35.0208333333333,17.33125,19.4,14.8,1.2,17,3345,5.08221225710015,26.17,37.25,77.58,23.96,38.29,1
2011-11-04,1.76875,191.708333333333,95.8958333333333,969.545833333333,29.5,14.4208333333333,16.8,13.6,42.7,35,14061,2.48915439869142,27.79,51.67,94.83,18.46,26.71,1
2011-11-05,1.325,260.625,87.3541666666667,969.616666666667,74.9791666666667,13.7104166666667,16.4,11.3,5.6,6,2343,2.56081946222791,9.54,27.12,46.79,26.12,21.08,1
2011-11-06,2.41875,284.229166666667,85.9583333333333,974.910416666667,25.0416666666667,12.5729166666667,15,10.4,19.9,4,2062,1.93986420950533,6.75,26.12,36.21,29.71,16.67,1.04
2011-11-07,2.05208333333333,320.416666666667,72.5416666666667,981.820833333333,108.479166666667,14.9145833333333,18.3,12,0,36,13714,2.62505468863935,33.12,37.92,88.83,18.17,26.46,1
2011-11-08,1.39375,253.3125,80.9791666666667,983.997916666667,135.0625,13.8729166666667,19.6,10.7,0,25,7511,3.32845160431367,22.46,38,76,13.71,24.96,1.61
2011-11-09,1.22708333333333,242.729166666667,80.1458333333333,987.864583333333,131.625,13.9541666666667,20.2,10.1,0,28,13601,2.05867215645908,39.5,40.92,101.79,14.21,35.25,1.96
2011-11-10,1.16875,265.333333333333,82.4791666666667,987.579166666667,121.270833333333,14.4645833333333,20.3,10.4,0,36,13711,2.62562905696156,40.92,49.5,112.71,17.33,42.33,2.48
2011-11-11,1.51041666666667,268.854166666667,82.8958333333333,988.1625,128.1875,16.425,22.8,13.6,0,20,6452,3.09981401115933,48.42,54.5,128.33,14.38,50.58,2.17
2011-11-12,1.06458333333333,185.895833333333,88.5416666666667,995.108333333334,109.541666666667,16.05,20.3,13.3,0,2,806,2.48138957816377,10.71,33.17,51.62,25.5,35,1.26
2011-11-13,0.46875,121.333333333333,94.5208333333333,996.2125,32.2708333333333,14.5770833333333,16.9,12.9,10.9,2,1143,1.74978127734033,4.12,31.79,38.33,24.08,30.46,1
2011-11-14,0.766666666666667,158.875,95.8333333333333,990.452083333333,29.5625,12.9354166666667,15.1,11.4,6.1,44,19198,2.29190540681321,11.33,48.46,65.71,22.58,29.38,1.7
2011-11-15,0.85,165.1875,99.0833333333333,983.033333333333,12.4375,12.7625,13.9,11.8,52.8,28,10453,2.6786568449249,12.75,47.29,66.75,25.92,23.04,1.87
2011-11-16,0.685416666666666,152.375,92.6875,987.2125,27.125,12.8583333333333,14.9,11.6,18.4,28,10717,2.61267145656434,25.17,54.62,93.04,20.5,26.79,1.09
2011-11-17,0.879166666666667,206.104166666667,85.3958333333333,993.197916666667,70.3125,13.2270833333333,16.9,11.4,0,22,11120,1.97841726618705,28.75,51.25,94.71,19.04,35.88,2.3
2011-11-18,0.964583333333333,233.645833333333,89.75,990.720833333333,83.5416666666667,11.7791666666667,16,9,0,28,10500,2.66666666666667,40.54,44.67,107.25,10.58,43.95,1.26
2011-11-19,0.714583333333333,192.104166666667,90.5625,985.39375,55.625,11.9625,14.9,7.9,0.5,2,834,2.39808153477218,27.54,41.79,84.58,9.5,47,1.96
2011-11-20,1.01875,150.5625,90.75,985.65,37.0625,14.3166666666667,16.9,12.9,0,3,1764,1.70068027210884,4.33,27.17,36.96,37.08,24.79,2.22
2011-11-21,0.80625,60.75,88.375,981.5625,39.4791666666667,13.7354166666667,16.9,12.4,5.3,51,17796,2.8658125421443,15.96,39.83,64.83,27.71,29.29,2.74
2011-11-22,1.2125,35.8958333333333,85.4583333333333,981.9,20.8541666666667,13.7895833333333,14.6,12.5,0.7,25,11834,2.11255703904005,9.5,37.54,51.96,36.67,25,2.87
2011-11-23,1.43191489361702,235.489361702128,69.9166666666667,990.610416666667,119.854166666667,14.2416666666667,20.2,10.3,0,30,10529,2.84927343527401,39.08,48.29,109.5,11.62,39.79,1.13
2011-11-24,1.09166666666667,241.25,83,996.658333333333,111.333333333333,11.975,18,8.5,0,25,8426,2.96700688345597,47.46,45.62,119.21,9.5,43.62,2.09
2011-11-25,1.06666666666667,228.729166666667,81.3125,998.358333333333,114.770833333333,11.8770833333333,18.2,7.7,0.2,32,11310,2.82935455349248,63.64,48,146,6.64,49.96,3.71
2011-11-26,1.70416666666667,287.083333333333,75.3958333333333,998.529166666667,119.770833333333,10.0729166666667,15.1,7.3,0,4,2014,1.98609731876862,22.75,36.25,71.17,9.71,31.75,3.26
2011-11-27,0.872916666666667,233.041666666667,85.9791666666667,996.760416666667,80.1666666666667,9.93541666666667,15.6,6.1,0,2,218,9.1743119266055,20.67,30.42,63.08,11.08,40.38,2.87
2011-11-28,0.9,213.3125,85.4375,994.008333333333,62.9375,10.5708333333333,14.9,7.1,0.1,49,17974,2.72616000890175,71.58,51.38,161.58,4.12,51.29,2.7
2011-11-29,1.0875,236.9375,78.0833333333333,993.429166666667,78.0416666666667,12.68125,18.1,9.7,0,43,15357,2.80002604675392,69.83,63.25,169.25,5.25,48.71,2.61
2011-11-30,1.37083333333333,236.770833333333,72.2708333333333,996.729166666667,98.7083333333333,11.83125,17.1,7.5,0,35,9972,3.50982751704773,50.79,51.71,130.12,7.75,40.46,2.09
2011-12-01,2.12083333333333,258.208333333333,81.625,994.485416666667,107.708333333333,12.5270833333333,16.6,10.4,0,35,11027,3.17402738732203,67.96,57.08,161.5,10.62,47.95,3.65
2011-12-02,1.48541666666667,260.791666666667,76.3541666666667,987.18125,88.25,12.5520833333333,16.5,9.8,0,19,7598,2.50065806791261,46.62,64.21,134.46,7.17,41.29,3.13
2011-12-03,1.62916666666667,296.395833333333,69.5208333333333,992.075,94.5416666666667,10.9604166666667,13.9,8.9,0,8,4120,1.94174757281553,11.21,31.96,49.71,16.58,21.75,1.17
2011-12-04,1.6875,312.375,66.5416666666667,989.720833333333,106.875,11.01875,14.7,9,0,3,1305,2.29885057471264,10.92,26.38,43.42,24.21,21.88,1.61
2011-12-05,1.65208333333333,281.25,72.1666666666667,986.847916666667,102.25,11.1854166666667,15.3,6.3,0,50,11851,4.21905324445195,22.25,40.5,77.21,14.58,26.38,2.48
2011-12-06,1.7375,281.645833333333,68.0625,990.841666666667,102.770833333333,10.9354166666667,15.1,7.4,0,10,4200,2.38095238095238,19.71,38.75,69.75,21.08,31.46,2.74
2011-12-07,1.4625,277.083333333333,72.2291666666667,996.058333333333,108.6875,10.06875,15.5,6.4,0,49,14571,3.36284400521584,37.33,43.04,100.92,15.04,34.38,2.91
2011-12-08,1.36875,238.479166666667,77.2083333333333,996.941666666667,98.7916666666667,10.825,16.7,7.9,0,9,4598,1.9573727707699,27,36.88,84.58,9.92,33.29,3.78
2011-12-09,0.90625,224.25,85.375,992.139583333333,82.125,9.4375,14.3,5.4,0,38,13726,2.76846859973772,69.54,47.29,155.12,4.67,44.79,2.39
2011-12-10,1.11041666666667,277.354166666667,78.7916666666667,987.70625,93.5208333333333,9.25625,15.4,5.5,0,3,1562,1.92061459667093,34.29,35.21,88.46,7.25,32.62,1.22
2011-12-11,1.27916666666667,240.083333333333,80.1666666666667,986.529166666667,83.3125,8.40833333333333,14.7,5.1,0,2,1162,1.72117039586919,21.5,32.17,67.08,8.67,31.71,2.43
2011-12-12,1.80625,287.354166666667,75.6875,989.5,100.229166666667,8.7625,14.9,5.9,0,38,12099,3.14075543433342,39.08,38.88,99.21,8.33,27.12,2.91
2011-12-13,2.49166666666667,290.25,62.875,987.964583333333,86.8333333333333,11.29375,15.1,8.2,0,33,15150,2.17821782178218,56.79,45.54,132.92,15.83,44.25,3.87
2011-12-14,2.34166666666667,305.8125,59.3541666666667,987.6,87.3958333333333,13.3604166666667,17.3,10.3,0,42,17920,2.34375,37.17,49.88,108.04,16.83,33.33,2.22
2011-12-15,3.44375,297.1875,55.1458333333333,992.729166666667,88.9166666666667,11.2145833333333,14,9.5,0,42,17371,2.41782280812849,24.71,37.92,76.79,28.12,30,3.61
2011-12-16,4.43541666666667,300.875,54.0625,981.9625,55.9583333333333,12.4520833333333,15.5,9,0,24,10561,2.27251207272039,6.27,21.64,34.55,42.14,22.04,1.19
2011-12-17,4.48541666666667,309.770833333333,60.25,984.64375,107.625,8.01875,10.8,6,0,8,3247,2.46381275023098,3.46,10.25,17.5,59.33,13.5,1.17
2011-12-18,3.18958333333333,317.770833333333,51.1458333333333,987.270833333333,109.125,6.86458333333334,11,4.3,0,1,452,2.21238938053097,13.21,28.58,48.88,35.67,16.75,1.96
2011-12-19,1.79583333333333,286.958333333333,57.3541666666667,991.935416666667,94.2916666666667,6.35416666666667,10.7,2.2,0,37,12948,2.85758418288539,49.42,61.17,137.21,11.75,31.96,1.52
2011-12-20,2.10625,270.458333333333,74.125,989.8875,77.6666666666667,8.14791666666667,12.5,3.5,0,34,15396,2.20836580930112,55.25,58.96,143.21,9.29,35.42,1.7
2011-12-21,1.41041666666667,231.166666666667,77.1875,990.78125,52.125,10.4458333333333,14.6,6.4,0,25,10351,2.41522558206937,110.83,66.04,236.17,3.08,55.62,3.91
2011-12-22,3.50416666666667,321.833333333333,67.1666666666667,993.933333333333,93.4375,12.3958333333333,15.6,9.2,0,14,7885,1.77552314521243,36.5,44.46,100.5,18.25,23.96,1.39
2011-12-23,1.9625,294.729166666667,66.4583333333333,994.28125,106.625,10.6583333333333,17.8,7.5,0,33,12026,2.7440545484783,30.42,46.11,95.46,9.46,24.29,3.48
2011-12-24,1.37083333333333,278.104166666667,72.8958333333333,998.083333333334,76.9375,8.68541666666667,14,4.6,0,14,7115,1.96767392832045,19.21,35.83,66.54,9.89,24.5,1.09
2011-12-25,1.32291666666667,254.6875,61.7291666666667,1001.80625,107.666666666667,7.21875,14.1,3.4,0,5,2484,2.01288244766506,16,32.92,57.75,17.12,24.42,1.61
2011-12-26,1.0875,232.833333333333,69.3333333333333,1004.36666666667,103.916666666667,6.54583333333333,14.2,2.3,0,12,5826,2.05973223480947,26.92,39.54,82.71,12.38,27.75,3.26
2011-12-27,1.09583333333333,205.083333333333,63.1041666666667,1003.00208333333,74.9583333333333,8.31875,14.8,3.8,0,47,17969,2.61561578273694,77.67,64.71,184.14,4,40.7,1.7
2011-12-28,1.20625,242.041666666667,61.3125,1000.08958333333,107.5625,8.58541666666667,15.1,4.4,0,43,14872,2.89133942980097,52.67,58,139.21,7.12,33.08,2.74
2011-12-29,1.4875,277.125,60.0625,997.358333333333,101.208333333333,7.7375,12.5,3.6,0,41,17381,2.35889764685576,48.83,55.5,132.62,11.96,32.62,3.52
2011-12-30,3.56875,295.041666666667,53.3541666666667,995.29375,107.25,8.975,12.7,5.7,0,30,13630,2.20102714600147,16.83,38.21,65.29,27.54,20.88,1.17
2011-12-31,1.79791666666667,253.583333333333,65.0208333333333,993.733333333333,107.395833333333,11.4583333333333,16.9,7,0,3,852,3.52112676056338,11.04,36,53.17,24.04,20.25,2
2012-01-01,1.95416666666667,263.229166666667,71.7083333333333,993.202083333333,104.854166666667,12.3458333333333,17.8,9.6,0,13,6988,1.86033199771036,17.29,35.71,64.92,15.54,19.38,1.87
2012-01-02,4.08958333333333,317.625,54.5416666666667,991.022916666667,107.666666666667,12.325,14.9,8.8,0,33,11567,2.85294371920118,12.75,30.38,50.29,27.25,21.5,2.61
2012-01-03,1.51875,245.020833333333,64.3958333333333,998.633333333334,104.458333333333,8.81666666666667,15,5.5,0,38,12094,3.14205391103026,39.92,51.58,113.33,13.33,34.37,2.48
2012-01-04,1.48125,228.604166666667,74.1041666666667,997.55,98.8125,8.925,15.5,4.1,0,19,6049,3.14101504380889,41.46,48.62,113.67,7.83,35.29,3.96
2012-01-05,3.48958333333333,302.729166666667,53.5,990.827083333334,30.8125,11.1708333333333,15.8,6.6,0,22,11111,1.980019800198,32.96,42.62,94.04,22.08,38.08,1.57
2012-01-06,2.97083333333333,239.791666666667,69.7291666666667,990.8625,86.2916666666667,11.8104166666667,14.9,6.1,0,2,736,2.71739130434783,15.12,26.33,48.88,36.88,30.96,1.35
2012-01-07,1.41041666666667,285.354166666667,64.7083333333333,996.839583333333,112.666666666667,8.09166666666667,13.9,3.3,0,5,3354,1.49075730471079,28.21,45.42,90.25,12.04,39.29,3.87
2012-01-08,1.0625,216.145833333333,75.7083333333333,995.302083333334,110.229166666667,7.7875,12.1,4.6,0,3,1719,1.74520069808028,15.33,33.17,57.25,13.96,25.83,2.83
2012-01-09,1.34166666666667,243.4375,74.3333333333333,997.23125,110,8.59791666666667,15,4.4,0,54,21794,2.47774616867028,42.58,46.04,111.83,6.96,29.54,2
2012-01-10,1.15833333333333,243.708333333333,81.9375,999.652083333333,109.604166666667,7.99791666666666,14.5,3.4,0,34,16153,2.10487215997028,87.14,60.24,196.24,6.52,43.62,2.35
2012-01-11,0.814583333333334,240,85.2083333333333,1001.29166666667,71.4166666666667,7.28333333333333,12.9,3.6,0,32,12855,2.48930377285103,82.75,57.96,185.12,6.75,51.46,2.52
2012-01-12,1.41875,253.4375,84.5208333333333,999.70625,112.479166666667,7.86458333333333,13.9,2.9,0.3,34,13282,2.55985544345731,88,62.92,198.17,4.71,47.92,2
2012-01-13,1.66041666666667,293.041666666667,62.7083333333333,994.272916666667,119.166666666667,6.59583333333333,13.6,2.9,0,21,10197,2.05942924389526,46.21,55.46,127.5,5.88,31.71,1.7
2012-01-14,1.18125,232.041666666667,74.2916666666667,989.277083333333,77.5,5.21041666666667,11.9,1.2,0,15,5755,2.60642919200695,30.88,43.54,92.12,7.25,32.29,1.87
2012-01-15,0.825,218.645833333333,85.2083333333333,986.833333333334,69.0625,6.52916666666667,11.6,3.7,0.2,NA,NA,NA,13.62,35.42,56.92,13.62,31.12,1.48
2012-01-16,0.80625,118.916666666667,85.4791666666667,985.66875,32.0625,6.68541666666667,9.5,3.1,0.3,36,16510,2.18049666868565,35.67,53.58,109.54,14.67,34.92,2.48
2012-01-17,1.35625,148.833333333333,78.9375,996.383333333333,84.2291666666667,9.02708333333333,13.4,6.6,0,53,21211,2.49870350289944,46.46,63.83,135.75,14.62,42.04,2.13
2012-01-18,1.36458333333333,235.916666666667,78.6875,1001.8625,113.770833333333,6.96875,13.1,2.3,0,29,12234,2.37044302762792,68.38,53.96,159,9.12,46.08,2.22
2012-01-19,1.44166666666667,259.791666666667,69.1666666666667,1003.44791666667,114.895833333333,8.38125,15.2,3.2,0,25,12071,2.07107944660757,61.12,58.42,153.5,7.71,41.04,2.87
2012-01-20,1.31458333333333,251.770833333333,69.9375,997.916666666667,119.854166666667,10.39375,17.9,5.4,0,29,15749,1.84138675471459,54.5,58.17,147,7.38,40.08,2.65
2012-01-21,1.81875,301.895833333333,59.0833333333333,994.8875,123.604166666667,10.9645833333333,15.9,7.8,0,8,4856,1.64744645799012,22.67,47.33,82,13.62,30.79,2.26
2012-01-22,1.49791666666667,257.4375,71.9166666666667,990.466666666667,125.25,10.7125,15.9,8.1,0,13,5840,2.22602739726027,23,36.42,72.38,14.33,27.36,2.78
2012-01-23,1.54583333333333,282.104166666667,64.0208333333333,987.614583333333,126.4375,11.5666666666667,17.5,7.5,0,27,12632,2.13742875237492,38.14,51.64,111.77,7.18,28.12,12.45
2012-01-24,1.30416666666667,212.333333333333,73.1875,991.295833333333,128.604166666667,9.04583333333333,15.5,5.4,0,40,16203,2.46867863975807,44.96,48.54,121.08,10.71,32.12,8.87
2012-01-25,1.42083333333333,237.208333333333,75.25,989.38125,126.8125,9.22916666666666,16.5,4.8,0,36,15399,2.33781414377557,68.96,57.5,163.33,8.08,47.38,13.91
2012-01-26,1.16875,230.25,77.9791666666667,987.5625,115.208333333333,8.42916666666667,15.2,3.5,0,28,12295,2.27734851565677,63.96,58.5,157.12,8.62,44.79,9.91
2012-01-27,0.8875,224.479166666667,83.3125,991.1625,40.0625,8.53333333333333,11.6,6.5,0,27,13094,2.06201313578738,93.12,69.67,212,4.88,57,18
2012-01-28,0.945833333333333,263.541666666667,88.1041666666667,992.152083333333,25.125,6.9125,8.2,3.9,1.3,8,4075,1.96319018404908,33.25,43.12,94.96,5.25,33,6.65
2012-01-29,1.86041666666667,290.0625,69.2291666666667,987.270833333333,99.1041666666667,4.89166666666667,10.3,0.8,0,5,2087,2.39578342117873,18.46,36.79,65.42,14.92,23.5,4.87
2012-01-30,1.71041666666667,271.729166666667,40.125,990.575,144.958333333333,5.95416666666667,11.1,1.7,0,57,20444,2.78810408921933,50.96,58.65,139.43,14.54,41.3,13.62
2012-01-31,1.73125,256.145833333333,55.1666666666667,986.764583333333,76.4791666666667,5.975,10.3,2.8,0,48,21819,2.19991750309363,55.83,60.08,146.29,10.71,47.21,10.74
2012-02-01,0.895833333333333,158.0625,92.4791666666667,982.235416666667,12.4375,4.36666666666667,6,2.2,9.8,24,10341,2.32085871772556,91.71,68,208.67,4.88,42.38,7.17
2012-02-02,1.43958333333333,294.375,82.3125,981.279166666667,40.1041666666667,1.03333333333333,1.9,-0.1,0.9,31,14154,2.19019358485234,23.25,47.79,88.42,17.42,24.79,4
2012-02-03,2.71458333333333,319.875,52.3125,986.660416666667,145.8125,-0.21875,3.6,-3,0,31,9794,3.16520318562385,18.75,42.83,71.92,30.79,34,4.96
2012-02-04,3.075,292.229166666667,27.5,991.708333333333,157.854166666667,0.59375,5.8,-2.3,0,5,4086,1.22369065100343,8.57,31.22,44.48,53.33,19.29,5.96
2012-02-05,1.90833333333333,228.645833333333,50.0625,991.754166666666,55.6458333333333,1.52916666666667,5.8,-1.1,0,2,1426,1.40252454417952,16.79,58.67,86.21,19.12,29.17,10.43
2012-02-06,1.5875,244,45.0833333333333,989.152083333333,158.708333333333,4.96041666666667,13.1,-2.1,0,55,25282,2.17546080215173,46.45,60.65,132.9,9.57,31.92,10.25
2012-02-07,3.14791666666667,269.416666666667,18.4583333333333,984.475,163.979166666667,5.75,11.4,2.4,0,46,20877,2.20338171193179,19.25,37.67,66.62,45.92,21.5,4.35
2012-02-08,2.15416666666667,328.895833333333,23.1875,990.783333333333,114.145833333333,2.5875,6,-0.7,0,54,19728,2.73722627737226,25.42,59.46,98.71,24.33,31.67,7.43
2012-02-09,2.71666666666667,313.166666666667,45.3333333333333,993.672916666667,159.020833333333,3.68541666666667,9.4,-1.2,0,47,22831,2.05860452892996,16.75,44.33,72.67,28,30.79,5.3
2012-02-10,2.05833333333333,240.229166666667,47.9791666666667,988.058333333333,162.333333333333,5.49375,12.3,1.5,0,33,15527,2.1253300702003,24.42,47.12,85.38,29.33,40.54,7.26
2012-02-11,3.27916666666667,254.333333333333,33.6875,987.066666666667,173.791666666667,3.70208333333333,8.5,-0.6,0,11,6198,1.77476605356567,10.62,36.04,52.54,42.75,28.71,4.13
2012-02-12,1.9,251.583333333333,53.2916666666667,989.185416666667,170.041666666667,1.61041666666667,7.1,-1.5,0,9,4748,1.8955349620893,6.52,36.26,48.7,42.21,25.54,5.61
2012-02-13,1.95625,277.458333333333,34.7708333333333,990.133333333333,169.125,3.54583333333333,9.6,-2.1,0,67,24858,2.6953093571486,44.96,63.25,134.21,23,47.23,7.91
