date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,c6h6,co,no,no2,nox,o3,so2
2011-09-29,3.36041666666667,200.395833333333,69.5416666666667,NA,205.375,21.2708333333333,27.1,16,0,NA,NA,NA,NA,0.27,5.42,23.04,NA,91.67,3.17
2011-09-30,2.93333333333333,200.645833333333,74.3125,NA,191.5,20.7666666666667,25.4,15.6,0,NA,NA,NA,NA,0.25,3.67,11.12,NA,91.79,3.04
2011-10-01,2.78958333333333,218.875,76.6666666666667,NA,186.770833333333,20.53125,25.4,16.3,0,NA,NA,NA,NA,0.26,4.29,13.41,NA,71.61,3
2011-10-02,3.3,274.604166666667,73.9166666666667,NA,210.770833333333,20.2229166666667,26.3,15.6,0,NA,NA,NA,NA,0.26,14.42,34.71,NA,65.42,3.92
2011-10-03,2.66458333333333,256.041666666667,59.8125,NA,203.666666666667,21.5270833333333,29.6,16.3,0,87,33906,2.56591753671916,NA,0.26,11.74,31.22,NA,83.25,3.27
2011-10-04,2.9125,268.229166666667,61.8333333333333,NA,200.770833333333,21.0354166666667,28.9,15.8,0,57,23166,2.46050246050246,NA,0.27,10.08,34.12,NA,77.62,4.29
2011-10-05,3.19166666666667,241.145833333333,61.625,NA,201.5625,21.5791666666667,28.7,15.8,0,53,23495,2.25579910619281,NA,0.21,3.08,13.88,NA,85.92,3.08
2011-10-06,2.31875,262.375,78.1875,NA,185.479166666667,21.0979166666667,27,17,0,31,16275,1.9047619047619,NA,0.2,4.04,11.58,NA,62.58,3.33
2011-10-07,3.12916666666667,226.770833333333,71.8541666666667,NA,118.5,20.0479166666667,23.9,16.9,0,39,18420,2.11726384364821,NA,0.2,1.92,8.83,NA,65.08,3.62
2011-10-08,2.91041666666667,231.25,56.2916666666667,NA,185.958333333333,18.3708333333333,23.6,12.8,0,12,8014,1.49737958572498,NA,0.2,2.71,7.33,NA,61.71,3.12
2011-10-09,2.67916666666667,282.979166666667,59.7291666666667,NA,195.791666666667,18.36875,24.8,14.4,0,NA,NA,NA,NA,0.23,8.42,20.33,NA,43.42,4.12
2011-10-10,3.63125,270.395833333333,58.2083333333333,NA,193.229166666667,21.3229166666667,28.3,15.7,0,79,26328,3.00060771801884,NA,0.29,20.33,31.88,NA,41.75,5.54
2011-10-11,2.99166666666667,274.6875,55.6041666666667,NA,190.625,21.6270833333333,28.5,17,0,37,18827,1.96526265469804,NA,0.23,5.62,26.54,NA,55.46,5.54
2011-10-12,3.08333333333333,273.375,57.2291666666667,NA,189.916666666667,21.6020833333333,29.6,16.5,0,4,2334,1.71379605826907,NA,0.26,10.29,31.54,NA,45.43,5.33
2011-10-13,2.48125,209.979166666667,69.7916666666667,NA,160.3125,20.8833333333333,26.5,16.2,0,69,31376,2.19913309535951,NA,0.25,5.42,22.67,NA,47.67,5.75
2011-10-14,2.36458333333333,208.3125,66.7291666666667,NA,164.270833333333,20.0020833333333,24.9,16,0,43,17760,2.42117117117117,NA,0.22,2.29,13.92,NA,68.25,5.38
2011-10-15,2.59791666666667,197.354166666667,65.6666666666667,NA,143.75,18.38125,22.5,13.2,0,12,7975,1.50470219435737,NA,0.22,1.33,9.12,NA,72.29,5.04
2011-10-16,2.23125,267.729166666667,69.125,NA,156.4375,18.45625,23.5,13.8,0,4,2084,1.91938579654511,NA,0.25,3.38,13.42,NA,68.25,5.33
2011-10-17,2.2875,263.666666666667,78.7083333333333,NA,97.2916666666667,17.73125,23.5,14.2,0.3,70,32483,2.1549733706862,NA,0.29,12.33,18.42,NA,70.12,5.96
2011-10-18,3.32083333333333,277.125,75.2083333333333,NA,172.458333333333,17.84375,24.3,13.5,0,31,14394,2.15367514242045,NA,0.3,19.5,24.4,NA,65.79,5.83
2011-10-19,3.78958333333333,243.729166666667,74.5416666666667,NA,156.0625,18.3604166666667,23.4,13.4,0.1,31,15260,2.03145478374836,NA,0.21,4.61,11.48,NA,55.83,4.17
2011-10-20,2.55416666666667,252.583333333333,65.2083333333333,NA,103.208333333333,15.3666666666667,20.3,10.8,0,35,18346,1.90777281151205,NA,0.21,6,21.5,NA,43.54,4.43
2011-10-21,2.73958333333333,213.416666666667,63.1875,NA,66.7291666666667,14.4229166666667,17.8,9.7,0,45,18286,2.46089904845237,NA,0.22,3.42,11.42,NA,62.58,4.29
2011-10-22,2.22708333333333,192.270833333333,75.8333333333333,NA,101.375,16.5875,20.8,12.8,0,11,7617,1.44413811211763,NA,0.24,3.96,8.71,NA,53.5,4.5
2011-10-23,2.12708333333333,299.979166666667,86.625,NA,51.3333333333333,15.5833333333333,19.5,13.1,3.6,2,2682,0.745712155108128,NA,0.27,8.88,28.79,NA,35.41,6.09
2011-10-24,1.82916666666667,232.145833333333,92.5833333333333,NA,64.5208333333333,16.6145833333333,20.8,14.2,46.4,45,22146,2.0319696559198,NA,0.31,15.92,16.29,NA,49.33,6.12
2011-10-25,3.07083333333333,307.1875,63.7708333333333,NA,164.375,16.4395833333333,21.2,11.3,0.3,36,19566,1.83992640294388,NA,0.28,11.25,26.79,NA,43.29,6
2011-10-26,2.68541666666667,279.104166666667,62.0625,NA,149.791666666667,14.5979166666667,20.8,9,0,36,19763,1.82158579163083,NA,0.35,17.58,34.71,NA,20.58,5.71
2011-10-27,1.98958333333333,285.875,85.6875,NA,24.4791666666667,16.3541666666667,21.2,14.1,15.9,41,20974,1.95480118241632,NA,0.24,5.96,26.5,NA,33.62,2.86
2011-10-28,2.51875,230.416666666667,90.7916666666667,NA,49.0833333333333,17.075,19.6,15.1,33.3,37,18119,2.04205530106518,NA,0.21,4.46,16.17,NA,40.79,1
2011-10-29,2.8,186.854166666667,83.625,NA,69.0416666666667,18.2333333333333,22,15.5,0,18,8306,2.16710811461594,NA,0.22,4.58,8.5,NA,39.08,1
2011-10-30,2.17083333333333,273.229166666667,81.4375,NA,134.104166666667,17.6645833333333,23.3,14,0,5,3104,1.61082474226804,NA,0.29,14.96,17.96,NA,28.92,1.33
2011-10-31,2.08541666666667,278.354166666667,87.2708333333333,NA,92.2708333333333,16.2916666666667,20.8,12.8,0,46,20723,2.21975582685905,NA,0.25,4.96,10.08,NA,42.04,1
2011-11-01,1.85208333333333,253.583333333333,90.5208333333333,NA,84.6875,17.825,22.3,14.2,0,3,1986,1.51057401812689,NA,0.21,3.83,8.38,NA,51.75,1
2011-11-02,3.06458333333333,224.020833333333,87.1875,NA,122.895833333333,19.2770833333333,22.2,16.1,33.8,42,16532,2.54052746189209,NA,0.27,12.12,16.25,NA,32.54,1.36
2011-11-03,2.70416666666667,237.6875,89.3541666666667,NA,50.375,18.7708333333333,21.8,15.9,0.2,46,21956,2.09509928948807,NA,0.23,6.67,17.83,NA,45.79,1.29
2011-11-04,2.73958333333333,212.0625,91.7708333333333,NA,30.5625,16.3291666666667,19.2,14.4,23.7,18,8706,2.06753962784287,NA,0.23,5.58,13.38,NA,44.58,1.33
2011-11-05,1.96458333333333,248.6875,86.2083333333333,NA,74.3125,15.2395833333333,18.1,12.7,6.2,14,6793,2.06094509053437,NA,0.24,5.92,9.21,NA,47.54,1.08
2011-11-06,2.70833333333333,259.833333333333,88.6875,NA,27.625,13.6583333333333,16.6,11.6,23.6,3,1262,2.37717908082409,NA,0.26,11.29,17.25,NA,41.88,1.17
2011-11-07,2.50416666666667,295.4375,75.1666666666667,NA,86.0416666666667,15.81875,21,13.3,0.1,40,19610,2.03977562468129,NA,0.25,7.59,16.95,NA,26.27,1.45
2011-11-08,2.60625,276.875,77.7291666666667,NA,131.9375,15.50625,20.7,12.4,0,41,18811,2.17957578012865,NA,0.36,24.71,31.29,NA,19.58,3.21
2011-11-09,2.62083333333333,276.6875,80.625,NA,128.479166666667,14.34375,20.4,10.9,0,43,18314,2.3479305449383,NA,0.3,14.92,33.21,NA,33.42,2.25
2011-11-10,3.10416666666667,278.354166666667,81.875,NA,119.541666666667,14.6479166666667,20,11,0,39,16945,2.30156388315137,NA,0.37,23.17,32.33,NA,28.58,2.08
2011-11-11,2.39166666666667,271.833333333333,87.1875,NA,124.458333333333,15.6770833333333,21.3,11.7,0,43,17895,2.40290583962001,NA,0.33,10.62,34.12,NA,31.08,1.54
2011-11-12,1.75,219.520833333333,87.5208333333333,NA,102.645833333333,16.9625,20.9,14.3,0,NA,NA,NA,NA,0.25,4.15,19.15,NA,53.14,1
2011-11-13,2.36041666666667,190.5,87.125,NA,32.7708333333333,16.05,17.6,14.4,7.7,2,2269,0.881445570736007,NA,0.28,7.86,34.93,NA,44.93,1
2011-11-14,2.325,181.5,88.0625,NA,32.7708333333333,14.9916666666667,17.6,13.6,4.5,52,21354,2.43514095719771,NA,0.24,6.67,28.83,NA,48.54,1.08
2011-11-15,3.32916666666667,131.333333333333,90.625,NA,24.7291666666667,15.3104166666667,17.7,13.2,46.9,45,21295,2.1131721061282,NA,0.2,5.72,17.78,NA,54.77,1
2011-11-16,2.40208333333333,178.583333333333,84.3125,NA,26.9791666666667,14.9854166666667,16.4,13.1,14,29,9709,2.98691935317746,NA,0.23,9.5,27,NA,41.79,1.38
2011-11-17,1.69791666666667,194.083333333333,78.75,NA,71.7083333333333,15.24375,17.7,13.4,0.6,35,18457,1.89629950696213,NA,0.29,13.71,32.46,NA,17.88,2.46
2011-11-18,2.10833333333333,254.416666666667,86.8958333333333,NA,66.0625,13.1458333333333,17.1,10.8,0,37,19877,1.86144790461337,NA,0.24,7.21,28.46,NA,36,2
2011-11-19,2.66041666666667,238.375,86.4583333333333,NA,51.75,13.4083333333333,17.1,9.8,0.6,7,1371,5.10576221735959,NA,0.22,4.88,19.12,NA,53.42,1.88
2011-11-20,2.86875,154.9375,85.0416666666667,NA,98.3541666666667,16.5,19.4,14.1,0.1,3,2235,1.34228187919463,NA,0.2,5.5,21,NA,50,2
2011-11-21,3.06458333333333,145.229166666667,82.1041666666667,NA,59.6458333333333,15.5125,19.1,13.2,4.1,50,23026,2.17145835142882,NA,0.2,4.38,15.88,NA,57,2
2011-11-22,4.03333333333333,42.2291666666667,72.4791666666667,NA,42.8333333333333,16.4541666666667,17.4,14.6,0.2,46,21076,2.18257733915354,NA,0.28,17.21,29.75,NA,27.75,2.42
2011-11-23,2.56875,285.395833333333,72.4166666666667,NA,111.520833333333,14.7125,20.6,10.4,0,27,12235,2.20678381691868,NA,0.3,16.71,28.75,NA,19.12,1.83
2011-11-24,2.8,261.458333333333,80.1875,NA,106.5,12.7229166666667,19.2,9.2,0,52,21773,2.38827906122262,NA,0.35,23.64,31.18,NA,12.91,2.5
2011-11-25,2.60625,285.958333333333,80,NA,106.520833333333,12.1916666666667,18.7,8.7,0,40,19714,2.02901491325961,NA,0.29,17.46,21.96,NA,22.12,2.42
2011-11-26,4.06041666666667,324.958333333333,72.7916666666667,NA,111.958333333333,11.1375,16.3,8,0,15,8112,1.8491124260355,NA,0.26,11.67,20.04,NA,36.88,2.14
2011-11-27,3.1375,278.166666666667,82.1875,NA,72.875,10.4708333333333,16.8,6.2,0,2,1228,1.62866449511401,NA,0.31,22,31.46,NA,28.54,NA
2011-11-28,2.77291666666667,282.166666666667,81.0416666666667,NA,60.5,11.5291666666667,16.9,8.2,0,58,26845,2.16055131309369,NA,0.28,16.05,28.18,NA,34.21,1.23
2011-11-29,3.23125,300.604166666667,74.5833333333333,NA,95.875,12.7958333333333,19.5,9.9,0,43,19150,2.24543080939948,NA,0.33,14.33,29.5,NA,22,2.61
2011-11-30,2.91875,291.333333333333,77.6458333333333,NA,101.0625,11.2,18.2,8.1,0,49,21660,2.26223453370268,NA,0.37,33.67,31,NA,31.83,5.29
2011-12-01,2.98333333333333,286.395833333333,82.0416666666667,NA,98.125,11.2958333333333,17.2,6.7,0,52,27053,1.92215281114849,NA,0.38,35.21,31.5,NA,33.04,5.25
2011-12-02,3.06458333333333,317.583333333333,75.0416666666667,NA,74.75,12.7604166666667,18.3,9.4,0,41,16161,2.5369717220469,NA,0.24,8.58,16.29,NA,30.08,3
2011-12-03,3.40416666666667,325.25,69.2291666666667,NA,85.9583333333333,12.11875,14.8,10.1,0.4,4,3118,1.28287363694676,NA,0.25,6.38,12.62,NA,36.12,NA
2011-12-04,2.13333333333333,306.875,71.7291666666667,NA,97.2916666666667,11.5979166666667,17.1,7.9,0,2,1436,1.39275766016713,NA,0.29,14.42,25.17,NA,21.09,NA
2011-12-05,2.43333333333333,269.145833333333,74.2708333333333,NA,98,11.83125,17.3,6.7,0,53,18735,2.82892981051508,NA,0.27,9.17,15,NA,44.21,NA
2011-12-06,2.40833333333333,301.166666666667,74.9791666666667,NA,100.0625,11.1354166666667,17.3,7.6,0,6,2970,2.02020202020202,NA,0.28,14.54,22,NA,36.79,NA
2011-12-07,3.06458333333333,305.895833333333,71.5833333333333,NA,99.375,11.0083333333333,17.2,7.2,0,45,24832,1.81217783505155,NA,0.28,8.96,16.58,NA,29.71,NA
2011-12-08,3.07291666666667,294.354166666667,77.2083333333333,NA,97.0833333333333,11.2,17.4,7.6,0,2,1182,1.69204737732657,NA,0.42,28.17,35.17,NA,10.33,3.5
2011-12-09,3.175,313.229166666667,80.6041666666667,NA,83.5625,9.43958333333333,13.9,6,0,62,22608,2.74239207360226,NA,0.35,11.58,21.83,NA,23.08,2.38
2011-12-10,3.275,319.708333333333,76.875,NA,84.0208333333333,9.70833333333333,14.9,6.6,0,10,5493,1.82049881667577,NA,0.35,12.79,19.96,NA,20.79,2.33
2011-12-11,3.34791666666667,305.020833333333,78,NA,84.2708333333333,8.6125,15.2,5.1,0,2,978,2.04498977505112,NA,0.27,12.67,21.54,NA,18.04,2.17
2011-12-12,3.12708333333333,316.8125,73.6041666666667,NA,96.9583333333333,9.80625,16.3,6.2,0,72,35586,2.02326757713708,NA,0.32,18.88,23.96,NA,29.08,2.42
2011-12-13,2.6375,297.875,73.6875,NA,83.4375,9.89375,17.5,5.1,0,59,27261,2.16426396683907,NA,0.41,26.04,37.46,NA,21.38,3.04
2011-12-14,2.78541666666667,259.270833333333,68.7291666666667,NA,77.8125,13.3625,19.5,9,0,31,15116,2.05080709182323,NA,0.22,4.57,14.1,NA,51.42,1.42
2011-12-15,3.72083333333333,295.208333333333,60.0833333333333,NA,83,11.5145833333333,16.2,7.9,0,44,21145,2.08087018207614,NA,0.21,4.5,12.33,NA,52.5,2.04
2011-12-16,5.44166666666667,270.75,53.25,NA,48.3958333333333,14.0166666666667,17.9,11.2,0,36,19019,1.89284399810716,NA,0.2,2.42,1.5,NA,70.04,1.58
2011-12-17,5.97291666666667,321.5,54.7708333333333,NA,98.9791666666667,10.3291666666667,13.8,7.7,0,13,6929,1.87617260787993,NA,0.2,3.67,8.12,NA,53.42,1.62
2011-12-18,3.59166666666667,317.208333333333,56.2083333333333,NA,99.5208333333333,7.80416666666667,13.5,2.8,0,6,4917,1.2202562538133,NA,0.34,21.42,36.54,NA,24.42,2.83
2011-12-19,2.52916666666667,300.5625,62.4166666666667,NA,70.2083333333333,6.19791666666667,11.6,2,0,61,23071,2.64401196307052,NA,0.37,22.54,35.5,NA,19.32,2.86
2011-12-20,3.10416666666667,318.4375,70.9583333333333,NA,65.375,8.66041666666667,15.1,3.8,0,37,21615,1.7117742308582,NA,0.47,42,41,NA,12.54,3.92
2011-12-21,2.5,299.395833333333,79.6875,NA,51.75,9.49583333333333,15.8,5.8,0,47,25204,1.86478336771941,NA,0.37,22.29,27.08,NA,26.21,2.88
2011-12-22,3.875,314.020833333333,67.1875,NA,89.2916666666667,13.2833333333333,18.2,7.7,0,24,13182,1.82066454255803,NA,0.3,16.17,26.21,NA,23.08,2.33
2011-12-23,4.36458333333333,321.75,69.9791666666667,NA,96.6666666666667,10.9729166666667,16.2,8.3,0,30,14957,2.0057498161396,NA,0.24,4.67,10.25,NA,35.67,1.29
2011-12-24,3.775,322.104166666667,71.0208333333333,NA,79.9583333333333,9.7,15.5,5.4,0,2,1354,1.47710487444609,NA,0.32,7.71,16.67,NA,32.75,1.21
2011-12-25,3.6,319.020833333333,64.5416666666667,NA,99.4166666666667,7.86041666666667,14.4,4.5,0,3,1278,2.34741784037559,NA,0.4,12.21,26.71,NA,25.08,1.5
2011-12-26,3.15625,282.9375,70.7291666666667,NA,95.7916666666667,6.45416666666667,13.9,2.7,0,1,123,8.13008130081301,NA,0.39,13.79,34,NA,29.79,1.67
2011-12-27,3.92916666666667,245.208333333333,64.7708333333333,NA,72.9375,8.63958333333333,16.3,3.9,0,65,30507,2.13065853738486,NA,0.44,22.29,37.04,NA,19.08,2.62
2011-12-28,3.19375,304.166666666667,67.1875,NA,98.5833333333333,7.875,16,3.4,0,63,30756,2.04838080374561,NA,0.29,6.54,18.29,NA,37.83,1.79
2011-12-29,3.11041666666667,310.541666666667,62.5208333333333,NA,88.8541666666667,8.34791666666666,15,4.3,0,62,31547,1.96532158366881,NA,0.27,7.84,20.16,NA,47.38,1.32
2011-12-30,3.9375,311.291666666667,55.7916666666667,NA,97.9166666666667,9.85625,15.6,1.5,0,51,26805,1.90263010632345,NA,0.35,13.79,19.33,NA,33.38,1.46
2011-12-31,3.03541666666667,292.479166666667,65.5208333333333,NA,99.3333333333333,11.6708333333333,16.8,8,0,3,2447,1.22599100939926,NA,0.35,13.58,18.12,NA,29.17,1.46
2012-01-01,3.41041666666667,298.729166666667,75.0208333333333,NA,97.3541666666667,11.70625,17.1,8,0,1,327,3.05810397553517,NA,0.31,12.67,16.88,NA,39.67,1.92
2012-01-02,3.34583333333333,304.5,60.1875,NA,92.8541666666667,12.2708333333333,17.8,6.8,0.1,56,30010,1.86604465178274,NA,0.31,11.5,22.88,NA,31.18,2.3
2012-01-03,2.95625,289.333333333333,66.9375,NA,94.25,9.24791666666667,15.1,5.2,0,32,16761,1.90919396217409,NA,0.33,19.5,25.29,NA,17.38,3.88
2012-01-04,3.15416666666667,265.354166666667,75.9166666666667,NA,88.8541666666667,8.92708333333333,16.6,4.7,0,36,20238,1.77883190038541,NA,0.36,27.08,34.33,NA,23.92,4.04
2012-01-05,4.01666666666667,313.3125,57.1875,NA,20.2916666666667,11.69375,16.3,7.5,0,28,14310,1.95667365478686,NA,0.27,8.96,13.67,NA,48.12,2.21
2012-01-06,2.36666666666667,242.4375,71.0208333333333,NA,84.0416666666667,11.7541666666667,16.3,5.5,0,4,4204,0.951474785918173,NA,0.31,11.08,15.58,NA,35.96,2.04
2012-01-07,2.82708333333333,299.666666666667,69.6875,NA,102.895833333333,8.11875,14.7,3.6,0,12,8559,1.40203294777427,NA,0.28,8.38,11.17,NA,31.79,1.71
2012-01-08,3.68958333333333,314.25,72.2083333333333,NA,102.104166666667,8.46666666666667,13.8,5.1,0,6,5080,1.18110236220472,NA,0.29,14.75,21.08,NA,22.42,2.21
2012-01-09,3.6625,306.604166666667,73.1875,NA,101.333333333333,9.02916666666667,14.9,5.7,0,56,27058,2.06962820607584,NA,0.43,33.33,33.46,NA,14.79,4.25
2012-01-10,3.56458333333333,290.020833333333,79.3541666666667,NA,100.520833333333,7.4125,14.4,3.5,0,48,20354,2.35825881890537,NA,0.48,32.12,35.71,NA,13.29,3.42
2012-01-11,2.79583333333333,290.666666666667,80.5625,NA,86.1666666666667,7.33125,14.7,3.8,0,42,26127,1.60753243770812,NA,0.51,39.86,36.67,NA,14.95,3.88
2012-01-12,3.43333333333333,296.270833333333,82.4375,NA,93.1041666666667,7.36875,14.6,3.8,0,33,17093,1.93061487158486,NA,0.44,30.71,28.08,NA,10.67,3.58
2012-01-13,4.81875,321.833333333333,65.2916666666667,NA,108.1875,6.64791666666666,13.4,3.2,0,31,15578,1.98998587751958,NA,0.33,13.75,14.21,NA,23.67,3.08
2012-01-14,4.30208333333333,302.375,70.375,NA,86.5833333333333,6.06041666666667,13,2.1,0,14,9344,1.49828767123288,NA,0.34,9.38,10.67,NA,29.33,3.5
2012-01-15,2.8125,273.416666666667,75.75,NA,94.1458333333333,7.66041666666667,12.5,4.7,0,2,1620,1.23456790123457,NA,0.3,10.46,20.29,NA,35.17,3.83
2012-01-16,3.71458333333333,157.729166666667,75.9166666666667,NA,52.7708333333333,8.75833333333333,12,3.7,0.4,60,34425,1.74291938997821,NA,0.33,11.71,17.46,NA,46.54,2.14
2012-01-17,2.96875,162.4375,74.7083333333333,NA,103.979166666667,10.5979166666667,14.5,6.2,0.1,36,20362,1.76799921422257,NA,0.39,20,18.88,NA,21.46,2.17
2012-01-18,3.01875,295.8125,77.0208333333333,NA,109.979166666667,7.41875,14,4.1,0,58,28114,2.06302909582414,NA,0.55,48.14,41.36,NA,14.17,4.96
2012-01-19,3.48541666666667,295.729166666667,72.9375,NA,106.229166666667,8.03958333333333,14.8,2.5,0,39,19299,2.02083009482357,NA,0.39,23.12,34.21,NA,17.25,3.29
2012-01-20,3.275,301.916666666667,71.8541666666667,NA,108.333333333333,10.0145833333333,17.5,6.1,0,33,14127,2.33595243151412,NA,0.41,16.79,35.33,NA,20.92,3.67
2012-01-21,2.96875,295.5625,68.125,NA,113.333333333333,10.2916666666667,17.9,6,0,21,11337,1.85234188938873,NA,0.35,9.17,20.96,NA,28.83,3.08
2012-01-22,3.05625,292.541666666667,75.125,NA,117.895833333333,10.19375,17.8,6.5,0,3,2480,1.20967741935484,NA,0.37,17.75,30.38,NA,21.21,3.75
2012-01-23,4.01875,317.083333333333,68.6666666666667,NA,114.604166666667,11.2145833333333,17.5,6.9,0,58,25538,2.27112538178401,NA,0.32,7.58,24.83,NA,27.43,3.17
2012-01-24,3.11458333333333,301.229166666667,75.0833333333333,NA,113.458333333333,9.47291666666666,15.4,5.7,0,59,28980,2.03588681849551,NA,0.41,19.08,35.46,NA,19.79,4.29
2012-01-25,3.36041666666667,288.75,76.1666666666667,NA,121.520833333333,8.27083333333333,15.4,4.4,0,33,18881,1.74778878237381,NA,0.46,26.29,41.62,NA,15.62,5.25
2012-01-26,2.90625,269.333333333333,77.2291666666667,NA,109.979166666667,8.33333333333333,15.4,3.6,0,57,27875,2.04484304932735,NA,0.36,11.17,41.54,NA,22.29,3.62
2012-01-27,2.68541666666667,252.041666666667,77.2291666666667,NA,45.5625,9.67083333333333,13.1,6.5,0,42,19582,2.14482688183025,NA,0.4,11.29,31.29,NA,11.42,2.83
2012-01-28,2.0375,282.416666666667,85.1458333333333,NA,17.4166666666667,8.62083333333333,10,6.2,2.3,13,9374,1.38681459355665,NA,0.38,6.88,25.04,NA,28.21,3.12
2012-01-29,2.47916666666667,258.25,75.8333333333333,NA,84.0416666666667,5.78125,11,2,0,2,1732,1.15473441108545,NA,0.36,10.38,33.21,NA,29.67,3.88
2012-01-30,2.92291666666667,294.770833333333,60.7291666666667,NA,131.5,5.58125,11.9,0.8,0,79,36665,2.15464339288149,NA,0.43,23.88,42.62,NA,19.5,4.92
2012-01-31,2.98125,275.5625,57.4583333333333,NA,67.1875,6.64583333333333,12,1.7,0,59,27332,2.15864188497,NA,0.48,29,42.36,NA,10.29,4.41
2012-02-01,3.08125,220.625,84.5208333333333,NA,12.3125,5.15208333333333,7.7,3.3,5.5,54,29549,1.827473010931,NA,0.36,9.96,24.38,NA,30.46,3.29
2012-02-02,2.94166666666667,277.104166666667,80.4583333333333,NA,36.7291666666667,3.11458333333333,4.4,2,0.2,42,17312,2.42606284658041,NA,0.31,5.42,17.83,NA,50.92,2.67
2012-02-03,4.25208333333333,299.416666666667,53.4166666666667,NA,131.875,1.78125,5.4,-0.8,0,40,19522,2.04897039237783,NA,0.23,2.33,13.67,NA,71.62,1.96
2012-02-04,3.82291666666667,295.708333333333,30.9166666666667,NA,147.5,2.22083333333333,7.6,-0.9,0,23,15821,1.45376398457746,NA,0.3,7.5,31.21,NA,42.04,3.46
2012-02-05,2.63125,300.5,53.3333333333333,NA,56.5208333333333,2.01875,6.8,-4.3,0,6,5804,1.03376981392143,NA,0.37,17.21,35.71,NA,31.58,3.38
2012-02-06,2.91458333333333,260.708333333333,50.8541666666667,NA,146.8125,4.99375,13.9,-1.2,0,86,45610,1.88555141416356,NA,0.28,8.75,30,NA,54.67,2.96
2012-02-07,2.72916666666667,246.854166666667,28.7916666666667,NA,153.479166666667,5.6875,13.2,-2.2,0,59,36501,1.6163940713953,NA,0.3,7.38,30.04,NA,51.25,3.08
2012-02-08,3.36041666666667,321.875,28.8333333333333,NA,111.520833333333,3.52291666666667,8.6,-2.5,0,86,37700,2.28116710875332,NA,0.33,6.75,21.54,NA,50.25,2.33
2012-02-09,4.94375,325.4375,43.7083333333333,NA,148.604166666667,5.24791666666667,11.6,0,0,60,25911,2.31561884913743,NA,0.34,6.88,21.5,NA,57.73,2.9
2012-02-10,4.53333333333333,283.833333333333,55.0208333333333,NA,149.270833333333,6.25833333333333,11.9,2,0,66,31071,2.12416722989283,NA,0.25,3.62,12.58,NA,77.54,2.42
2012-02-11,4.02916666666667,241.791666666667,37.4375,NA,167.729166666667,5.16458333333333,10.6,0.3,0,29,17328,1.6735918744229,NA,0.32,4.58,21.83,NA,60.33,3.12
2012-02-12,3.09583333333333,240.0625,53.5625,NA,152.708333333333,3.0625,7.4,-1.2,0.2,6,3927,1.52788388082506,NA,0.4,13.33,35.54,NA,52,4.08
2012-02-13,3.51458333333333,269.166666666667,49.8541666666667,NA,156.604166666667,3.4125,10.2,-2.7,0,132,55984,2.35781651900543,NA,0.38,8.12,33.21,NA,43.54,3.33
2012-02-14,2.79583333333333,265.083333333333,56.6458333333333,NA,116.854166666667,6.35833333333333,11.8,1.6,0,99,46222,2.14183722037125,NA,0.38,11.83,33.25,NA,38.58,2.42
